,column,row,z_axis,cell_states
156,1731.0,3081.0,16.0,aCM3
157,1091.0,3109.0,8.0,aCM1
158,1435.0,3229.0,20.0,aCM3
159,1151.0,3273.0,12.0,aCM3
160,1547.0,3289.0,12.0,aCM3
161,1295.0,3297.0,16.0,aCM1
162,1855.0,3305.0,24.0,aCM1
163,1283.0,3385.0,0.0,aCM1
164,1211.0,3389.0,16.0,aCM1
165,1515.0,3389.0,24.0,aCM1
166,1119.0,3405.0,24.0,aCM3
167,1539.0,3421.0,20.0,aCM1
168,1619.0,3433.0,12.0,aCM3
169,1115.0,3473.0,16.0,aCM1
170,1871.0,3473.0,20.0,aCM3
171,1047.0,3521.0,12.0,aCM1
172,1723.0,3525.0,24.0,aCM3
173,1127.0,3577.0,24.0,aCM1
174,1779.0,3609.0,16.0,aCM1
175,1583.0,3661.0,4.0,aCM3
176,1839.0,3669.0,20.0,aCM1
177,1105.0,3712.0,23.0,aCM1
178,1299.0,3729.0,24.0,aCM1
179,1715.0,3789.0,16.0,aCM3
180,1171.0,3849.0,24.0,aCM1
181,1547.0,3853.0,20.0,aCM1
182,1463.0,3961.0,8.0,aCM5
183,1203.0,4017.0,20.0,aCM1
184,1703.0,4017.0,8.0,aCM1
185,1443.0,4021.0,16.0,aCM1
186,1359.0,4061.0,16.0,aCM1
187,1511.0,4085.0,20.0,aCM3
188,1647.0,4089.0,8.0,aCM1
189,1191.0,4109.0,8.0,aCM1
190,1599.0,4109.0,12.0,aCM3
191,1423.0,4141.0,8.0,aCM1
192,1683.0,4161.0,8.0,aCM1
193,1383.0,4173.0,12.0,aCM1
194,1451.0,4181.0,20.0,aCM1
195,1235.0,4193.0,20.0,aCM1
196,1479.0,4197.0,12.0,aCM1
197,1607.0,4221.0,8.0,aCM3
198,1491.0,4249.0,8.0,aCM1
199,1655.0,4297.0,4.0,aCM1
200,1267.0,4301.0,16.0,aCM1
201,991.0,4437.0,4.0,aCM1
202,1519.0,5085.0,15.0,aCM3
203,1259.0,5197.0,15.0,aCM1
204,1322.0,4662.0,23.0,aCM1
205,1660.0,4621.0,16.0,aCM3
206,1212.0,4649.0,16.0,aCM1
207,1552.0,4681.0,12.0,aCM1
208,1720.0,4701.0,4.0,aCM1
209,1524.0,4717.0,12.0,aCM1
210,1452.0,4737.0,20.0,aCM1
211,1188.0,4789.0,8.0,aCM1
212,1252.0,4793.0,12.0,aCM1
213,1716.0,4893.0,4.0,aCM1
214,1836.0,4925.0,16.0,aCM1
215,1668.0,4957.0,12.0,aCM1
216,1432.0,4973.0,8.0,aCM1
217,1816.0,5033.0,24.0,aCM1
218,1672.0,5189.0,16.0,aCM1
219,1716.0,5221.0,24.0,aCM1
220,1428.0,5257.0,16.0,aCM1
221,1320.0,5277.0,12.0,aCM1
222,1472.0,5337.0,8.0,aCM1
223,1444.0,5385.0,24.0,aCM1
224,1536.0,5489.0,16.0,aCM1
225,1845.0,6170.0,7.0,aCM3
226,1757.0,5584.0,24.0,aCM1
227,1861.0,5680.0,4.0,aCM3
228,1761.0,5704.0,8.0,aCM1
229,1105.0,6008.0,12.0,aCM1
230,1837.0,6032.0,8.0,aCM1
231,1033.0,6056.0,16.0,aCM1
232,1029.0,6132.0,12.0,aCM1
233,1805.0,6308.0,4.0,aCM1
234,1533.0,6368.0,16.0,aCM1
235,1267.0,6559.0,20.0,aCM1
236,1827.0,7079.0,0.0,aCM1
237,1327.0,7179.0,12.0,aCM1
238,1884.0,1913.0,20.0,aCM1
239,2773.0,2740.0,23.0,aCM3
240,1892.0,2623.0,24.0,aCM1
241,2067.0,2246.0,12.0,aCM1
242,1979.0,2298.0,8.0,aCM1
243,2167.0,2362.0,0.0,aCM1
244,2179.0,2470.0,12.0,aCM1
245,1899.0,2542.0,20.0,aCM5
246,1987.0,2578.0,24.0,aCM1
247,2503.0,2590.0,4.0,aCM1
248,2479.0,2634.0,12.0,aCM3
249,2647.0,2654.0,4.0,aCM1
250,2407.0,2734.0,24.0,aCM1
251,2768.0,3566.0,15.0,aCM3
252,2622.0,2830.0,19.0,aCM3
253,2212.0,3358.0,23.0,aCM3
254,2594.0,3173.0,15.0,aCM1
255,2467.0,3099.0,23.0,aCM1
256,2554.0,2780.0,0.0,aCM1
257,2222.0,2784.0,24.0,aCM1
258,1906.0,2840.0,24.0,aCM1
259,2426.0,2856.0,28.0,aCM1
260,2774.0,2868.0,24.0,aCM1
261,2770.0,2904.0,12.0,aCM1
262,2182.0,2912.0,24.0,aCM1
263,2334.0,2912.0,24.0,aCM3
264,2442.0,2928.0,16.0,aCM1
265,2602.0,2932.0,8.0,aCM1
266,2006.0,2944.0,0.0,aCM1
267,2062.0,2968.0,12.0,aCM1
268,2350.0,2980.0,0.0,aCM1
269,1950.0,3068.0,16.0,aCM1
270,2210.0,3072.0,20.0,aCM1
271,2754.0,3096.0,8.0,aCM1
272,2130.0,3144.0,0.0,aCM3
273,2490.0,3208.0,8.0,aCM1
274,1962.0,3212.0,12.0,aCM3
275,2086.0,3256.0,20.0,aCM1
276,2158.0,3296.0,20.0,aCM1
277,2574.0,3312.0,12.0,aCM3
278,2482.0,3324.0,0.0,aCM1
279,2406.0,3332.0,24.0,aCM1
280,2770.0,3332.0,24.0,aCM1
281,2066.0,3368.0,16.0,aCM1
282,2646.0,3368.0,24.0,aCM1
283,2774.0,3376.0,16.0,aCM1
284,2234.0,3440.0,24.0,aCM1
285,2318.0,3440.0,8.0,aCM3
286,2234.0,3472.0,16.0,aCM1
287,2386.0,3484.0,4.0,aCM1
288,2618.0,3496.0,8.0,aCM3
289,2586.0,3516.0,20.0,aCM1
290,2282.0,3620.0,8.0,aCM1
291,2034.0,3648.0,16.0,aCM3
292,1926.0,4417.0,15.0,aCM1
293,2570.0,3863.0,19.0,aCM3
294,2754.0,4307.0,19.0,aCM3
295,1962.0,4221.0,24.0,aCM1
296,2150.0,4188.0,7.0,aCM1
297,2284.0,3920.0,19.0,aCM1
298,2554.0,3753.0,8.0,aCM1
299,2118.0,3785.0,12.0,aCM3
300,2286.0,3817.0,8.0,aCM1
301,2418.0,3817.0,12.0,aCM3
302,2090.0,3821.0,12.0,aCM1
303,2730.0,3873.0,20.0,aCM1
304,2670.0,3877.0,24.0,aCM3
305,2374.0,3909.0,8.0,aCM4
306,2034.0,3913.0,4.0,aCM3
307,2450.0,3941.0,24.0,aCM3
308,2490.0,3953.0,4.0,aCM1
309,2590.0,3977.0,12.0,aCM3
310,2482.0,4001.0,24.0,aCM1
311,2150.0,4061.0,8.0,aCM3
312,2678.0,4069.0,24.0,aCM3
313,2070.0,4085.0,4.0,aCM3
314,2346.0,4129.0,20.0,aCM1
315,2790.0,4157.0,24.0,aCM3
316,1962.0,4221.0,24.0,aCM1
